,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Mitchells vs the Machines,2021,113,7.8,81,37769,
1,Zack Snyder's Justice League,2021,242,8.2,54,285116,
2,The Father,2020,97,8.3,88,56934,
3,Sound of Metal,2019,120,7.8,82,84003,
4,Avengers: Endgame,2019,181,8.4,78,871972,858.37
5,Another Round,2020,117,7.8,80,74785,
6,Once Upon a Time... In Hollywood,2019,161,7.6,83,580811,142.5
7,The Shawshank Redemption,1994,142,9.3,80,2390938,28.34
8,Knives Out,2019,130,7.9,82,489324,165.36
9,The Godfather,1972,175,9.2,100,1656568,134.97
10,Parasite,2019,132,8.6,96,605986,53.37
11,Soul,2020,100,8.1,83,239644,
12,The Gentlemen,2019,113,7.8,51,262111,
13,Big Fish,2003,125,8.0,58,419767,66.26
14,Titanic,1997,194,7.8,75,1066270,659.33
15,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,673962,317.58
16,Interstellar,2014,169,8.6,74,1556299,188.02
17,The Dark Knight,2008,152,9.0,84,2353267,534.86
18,Baby Driver,2017,113,7.6,86,453900,107.83
19,Joker,2019,122,8.4,59,996155,335.45
20,The Wolf of Wall Street,2013,180,8.2,75,1222145,116.9
21,Pulp Fiction,1994,154,8.9,94,1860951,107.93
22,Inception,2010,148,8.8,74,2111757,292.58
23,Dazed and Confused,1993,102,7.6,78,169654,7.99
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1691845,315.54
25,Scarface,1983,170,8.3,65,757520,45.6
26,The Trial of the Chicago 7,2020,129,7.8,76,144123,
27,Forrest Gump,1994,142,8.8,82,1849424,330.25
28,Deadpool 2,2018,119,7.7,66,496520,324.59
29,Django Unchained,2012,165,8.4,81,1387662,162.81
30,Jurassic Park,1993,127,8.1,68,883766,402.45
31,Thor: Ragnarok,2017,130,7.9,74,612248,315.06
32,Guardians of the Galaxy,2014,121,8.0,76,1063190,333.18
33,Saw,2004,103,7.6,46,384944,56.0
34,Avengers: Infinity War,2018,149,8.4,68,875821,678.82
35,The Goonies,1985,114,7.8,62,248726,61.5
36,The Silence of the Lambs,1991,118,8.6,85,1297291,130.74
37,Inglourious Basterds,2009,153,8.3,69,1296334,120.54
38,Blade Runner 2049,2017,164,8.0,81,477846,92.05
39,1917,2019,119,8.3,78,459528,159.23
40,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,586757,389.81
41,The Matrix,1999,136,8.7,73,1708889,171.48
42,Back to the Future,1985,116,8.5,87,1080727,210.61
43,Deadpool,2016,108,8.0,65,921057,363.07
44,Heat,1995,170,8.2,76,589523,67.44
45,Mystic River,2003,138,7.9,84,425424,90.14
46,Hacksaw Ridge,2016,139,8.1,71,450059,67.21
47,Schindler's List,1993,195,8.9,94,1235169,96.9
48,Almost Famous,2000,122,7.9,90,257120,32.53
49,Alien,1979,117,8.4,89,802238,78.9
